Custodian,src_Destination_Table,Source_File,Date_Format,Header_Delimiter,Date_Position_OR_Column,Additional_Delimiter,File_Type,XLS_to_CSV,XLS_Sheet_Name,Number_Of_Quarters,Unzip_File,Zip_File_Name,Filter_File_Name,Combine_Files,Remove_Header_Trailer,Num_Header_Lines,Num_Trailer_Lines,Start_String,Additional_EOL,Remove_Additional_EOL,Add_Record_ID,First_Record_Identifier,Flatten_File,Add_Sequence,Fill_With_Blank_Lines,Strip_Leading_Characters,Sequence,Delimit_Fixed_Width,Config_File,Delimiter,Filter_Records,Inverted_Filter,Column_Number,Filter_Value,JSON_Scrapping_Needed,JSON_KeyName,Add_Column_Delimiter,New_Column_Date,New_Column_Index,New_Column_Count,Escape_Quotes,Insert_File_Control,File_Label,Server,Delete_Source_File,Snowflake_Account,Snowflake_Authenticator,Snowflake_Warehouse,Snowflake_Database,Snowflake_Schema,Snowflake_FileFormat,Stored_Procedure,Complexity,Priority,Notes
IWS,IWS_POSITION_IMP,IWS_POSITD_SINGLE.*,MMDDYY,,63,,Fixed_Width,false,,,false,,,false,true,1,1,,false,false,false,,false,false,false,,,true,Config_IWS_POSITD_SINGLE.txt,|,false,,,,false,,false,,,,false,true,IWS_POSITION,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,Load_IWS_Position,Medium,,Fixed Width
IWS,IWS_ACCOUNTBALANCE_IMP,IWS_ACCTBALD_SINGLE.*,MMDDYY,,42,,Fixed_Width,false,,,false,,,false,true,1,1,,false,false,false,,false,false,,,,true,Config_IWS_ACCTBALD_SINGLE.txt,|,false,,,,false,,false,,,,false,true,IWS_ACCOUNTBALANCE,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,Load_IWS_AccountBalance,Medium,,Fixed Width
IWS,IWS_SECURITY_IMP,IWS_SECMAST_SINGLE.*,MMDDYY,,7,,Fixed_Width,false,,,false,,,false,true,1,1,,false,false,false,,false,false,,,,true,Config_IWS_SECMAST_SINGLE.txt,|,true,false,2,1,false,,false,,,,false,true,IWS_SECURITY,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,Load_IWS_Security,Medium,,Fixed Width
IWS,IWS_GNUMS_IMP,IWS_GNUMS_SINGLE.*,MM/DD/YYYY,,13,,Fixed_Width,false,,,false,,,false,true,1,1,,false,false,false,,false,false,,,,true,Config_IWS_GNUMS.txt,|,false,,,,false,,false,,,,false,true,IWS_GNUM,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,Load_IWS_GNUMS,Medium,,Fixed Width
IWS,IWS_ACCOUNTUPD_IMP,IWS_NAMADRD_SINGLE.*,MMDDYYYY,,63,,Fixed_Width,false,,,false,,,false,true,2,2,,false,false,false,,false,false,,,,true,Config_IWS_NAMADR_SINGLE.txt,|,true,false,2,101,false,,false,,,,false,true,IWS_ACCOUNT,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,LOAD_IWS_ACCOUNTUPD,Medium,,Fixed Width & Needs filtering on a column
IWS,IWS_ACCOUNT_IMP,IWS_NAMADRF_SINGLE.*,MMDDYYYY,,63,,Fixed_Width,false,,,false,,,false,true,2,2,,false,false,false,,false,false,,,,true,Config_IWS_NAMADR_SINGLE.txt,|,true,false,2,101,false,,false,,,,false,true,IWS_NAMADRF,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,Load_IWS_Account,Medium,,Fixed Width & Needs filtering on a column
IWS,IWS_TRANSACTION_IMP,IWS_ACTYD_SINGLE.*,MMDDYY,,63,,Fixed_Width,false,,,false,,,false,true,1,1,,false,false,false,,false,false,,,,true,Config_IWS_ACTYD_SINGLE.txt,~,false,,,,false,,false,,,,false,true,IWS_TRANSACTION,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,TILDADELIMITED,Load_IWS_Transaction,Medium,,Fixed Width
IWS,IWS_ASSET_FEE_MIN_IMP,IWS_Asset_Fee_Min_\d+\.xls,,,,,CSV,true,,,false,,,false,true,6,5,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_AssetFeeMin,Low,,
IWS,IWS_ASSET_FEE_MIN_OVERRIDE_IMP,IWS_Asset_Fee_Min_\d+_Override\D*,,,,,CSV,false,,,false,,,false,false,,,,true,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_ASSET_FEE_MIN_OVERRIDE,Low,,
IWS,IWS_ASSET_FEE_MIN_EXCLUSION_IMP,IWS_Asset_Fee_Min_\d+_Exclusion\D*,,,,,CSV,false,,,false,,,false,false,,,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_ASSET_FEE_MIN_EXCLUSION,Low,,
